t,x,y,z,speed
3.08,185.184,15.784,90.8391,61.6294
3.09,185.782,15.832,90.9793,61.607
3.1,186.38,15.88,91.1184,61.5847
3.11,186.978,15.928,91.2566,61.5626
3.12,187.576,15.976,91.3937,61.5407
3.13,188.174,16.024,91.5299,61.5189
3.14,188.772,16.072,91.6651,61.4973
3.15,189.37,16.12,91.7994,61.4758
3.16,189.968,16.168,91.9326,61.4544
3.17,190.566,16.216,92.0649,61.4332
3.18,191.164,16.264,92.1962,61.4122
3.19,191.762,16.312,92.3265,61.3913
3.2,192.36,16.36,92.4558,61.3705
3.21,192.958,16.408,92.5842,61.3499
3.22,193.556,16.456,92.7116,61.3295
3.23,194.154,16.504,92.8379,61.3092
3.24,194.752,16.552,92.9633,61.289
3.25,195.35,16.6,93.0878,61.269
3.26,195.948,16.648,93.2112,61.2492
3.27,196.546,16.696,93.3337,61.2295
3.28,197.144,16.744,93.4552,61.21
3.29,197.742,16.792,93.5757,61.1906
3.3,198.34,16.84,93.6952,61.1713
3.31,198.938,16.888,93.8137,61.1522
3.32,199.536,16.936,93.9313,61.1333
3.33,200.134,16.984,94.0479,61.1145
3.34,200.732,17.032,94.1635,61.0959
3.35,201.33,17.08,94.2781,61.0774
3.36,201.928,17.128,94.3917,61.059
3.37,202.526,17.176,94.5044,61.0409
3.38,203.124,17.224,94.616,61.0228
3.39,203.722,17.272,94.7267,61.005
3.4,204.32,17.32,94.8364,60.9872
3.41,204.918,17.368,94.9452,60.9697
3.42,205.516,17.416,95.0529,60.9522
3.43,206.114,17.464,95.1597,60.935
3.44,206.712,17.512,95.2655,60.9179
3.45,207.31,17.56,95.3703,60.9009
3.46,207.908,17.608,95.4741,60.8841
3.47,208.506,17.656,95.5769,60.8675
3.48,209.104,17.704,95.6788,60.851
3.49,209.702,17.752,95.7797,60.8346
3.5,210.3,17.8,95.8796,60.8184
3.51,210.898,17.848,95.9785,60.8024
3.52,211.496,17.896,96.0764,60.7865
3.53,212.094,17.944,96.1734,60.7708
3.54,212.692,17.992,96.2694,60.7552
3.55,213.29,18.04,96.3644,60.7398
3.56,213.888,18.088,96.4584,60.7245
3.57,214.486,18.136,96.5514,60.7094
